"NOMBRE_CAMPO","NEMONICO","TIPO","LONGITUD","RANGO_CLAVES"
"
"Apertura a la diversidad en el ámbito laboral. Una persona indígena","PO1_5_4","Alfanumérico",1,"4
"
"Apertura a la diversidad en el ámbito laboral. Una persona indígena","PO1_5_4","Alfanumérico",1,"9
"
"Apertura a la diversidad en el ámbito laboral. Una persona afrodescendiente","PO1_5_5","Alfanumérico",1,"1
"
"Apertura a la diversidad en el ámbito laboral. Una persona afrodescendiente","PO1_5_5","Alfanumérico",1,"2
"
"Apertura a la diversidad en el ámbito laboral. Una persona afrodescendiente","PO1_5_5","Alfanumérico",1,"3
"
"Apertura a la diversidad en el ámbito laboral. Una persona afrodescendiente","PO1_5_5","Alfanumérico",1,"4
"
"Apertura a la diversidad en el ámbito laboral. Una persona afrodescendiente","PO1_5_5","Alfanumérico",1,"9
"
"Apertura a la diversidad en el ámbito laboral. Una persona gay (homosexual) o lesbiana","PO1_5_6","Alfanumérico",1,"1
"
"Apertura a la diversidad en el ámbito laboral. Una persona gay (homosexual) o lesbiana","PO1_5_6","Alfanumérico",1,"2
"
"Apertura a la diversidad en el ámbito laboral. Una persona gay (homosexual) o lesbiana","PO1_5_6","Alfanumérico",1,"3
"
"Apertura a la diversidad en el ámbito laboral. Una persona gay (homosexual) o lesbiana","PO1_5_6","Alfanumérico",1,"4
"
"Apertura a la diversidad en el ámbito laboral. Una persona gay (homosexual) o lesbiana","PO1_5_6","Alfanumérico",1,"9
"
"Apertura a la diversidad en el ámbito laboral.  Personas trans (transgénero, transexual o trasvesti)","PO1_5_7","Alfanumérico",1,"1
"
"Apertura a la diversidad en el ámbito laboral.  Personas trans (transgénero, transexual o trasvesti)","PO1_5_7","Alfanumérico",1,"2
"
"Apertura a la diversidad en el ámbito laboral.  Personas trans (transgénero, transexual o trasvesti)","PO1_5_7","Alfanumérico",1,"3
"
"Apertura a la diversidad en el ámbito laboral.  Personas trans (transgénero, transexual o trasvesti)","PO1_5_7","Alfanumérico",1,"4
"
"Apertura a la diversidad en el ámbito laboral.  Personas trans (transgénero, transexual o trasvesti)","PO1_5_7","Alfanumérico",1,"9
"
