"NOMBRE_CAMPO","NEMONICO","TIPO","LONGITUD","RANGO_CLAVES"
"Afiliación a servicios de salud del ISSSTE estatal","P3_11_03","Alfanumérico",1,"2
"
"Afiliación a servicios de salud de PEMEX, Defensa o Marina","P3_11_04","Alfanumérico",1,"1
"
"Afiliación a servicios de salud de PEMEX, Defensa o Marina","P3_11_04","Alfanumérico",1,"2
"
"Afiliación a servicios de salud en el INSABI (Instituto de Salud para el Bienestar)","P3_11_05","Alfanumérico",1,"1
"
"Afiliación a servicios de salud en el INSABI (Instituto de Salud para el Bienestar)","P3_11_05","Alfanumérico",1,"2
"
"Afiliación a servicios de salud del IMSS-PROSPERA o IMSS-BIENESTAR","P3_11_06","Alfanumérico",1,"1
"
"Afiliación a servicios de salud del IMSS-PROSPERA o IMSS-BIENESTAR","P3_11_06","Alfanumérico",1,"2
"
"Afiliación a un seguro privado","P3_11_07","Alfanumérico",1,"1
"
"Afiliación a un seguro privado","P3_11_07","Alfanumérico",1,"2
"
"Afiliación al Seguro Popular (o para una Nueva Generación (Siglo XXI)?","P3_11_08","Alfanumérico",1,"1
"
"Afiliación al Seguro Popular (o para una Nueva Generación (Siglo XXI)?","P3_11_08","Alfanumérico",1,"2
"
"Afiliación a otra institución de salud","P3_11_09","Alfanumérico",1,"1
"
"Afiliación a otra institución de salud","P3_11_09","Alfanumérico",1,"2
"
"No afiliación a servicios de salud oficiales","P3_11_10","Alfanumérico",1,"1
"
"No afiliación a servicios de salud oficiales","P3_11_10","Alfanumérico",1,"2
"
"No afiliación a servicios de salud oficiales-complemento","P3_11_11","Alfanumérico",1,"1
"
"No afiliación a servicios de salud oficiales-complemento","P3_11_11","Alfanumérico",1,"2
"
"Lengua indígena","P3_12","Alfanumérico",1,"1
"
"Lengua indígena","P3_12","Alfanumérico",1,"2
"
"Lengua indígena","P3_12","Alfanumérico",1,"9
"
"Nombre de la lengua indígena","P3_13","Alfanumérico",160,"A - Z, 0 - 9
"
"Código de Lengua Indígena","P3_13C","Alfanumérico",4,"0111 - 7000
"
"Código de Lengua Indígena","P3_13C","Alfanumérico",4,"9999
"
"Habla español","P3_14","Alfanumérico",1,"1
"
"Habla español","P3_14","Alfanumérico",1,"2
"
"Habla español","P3_14","Alfanumérico",1,"9
"
"Religión","P3_15","Alfanumérico",1,"1
"
"Religión","P3_15","Alfanumérico",1,"2
"
"Religión","P3_15","Alfanumérico",1,"3
"
"Religión","P3_15","Alfanumérico",1,"4
"
"Religión","P3_15","Alfanumérico",1,"5
"
"Religión","P3_15","Alfanumérico",1,"6
"
"Religión","P3_15","Alfanumérico",1,"7
"
"Religión","P3_15","Alfanumérico",1,"9
"
"Código de Grupo religioso","P3_15C","Alfanumérico",6,"110101 - 310401
"
"Código de Grupo religioso","P3_15C","Alfanumérico",8,"999999
"
"Grupo religioso","P3_15A_ESP","Alfanumérico",160,"A - Z, 0 - 9
"
"Adscripción indígena","P3_16","Alfanumérico",1,"1
"
"Adscripción indígena","P3_16","Alfanumérico",1,"2
"
"Adscripción indígena","P3_16","Alfanumérico",1,"9
"
"Nivel de escolaridad","NIV","Alfanumérico",2,"00
"
"Nivel de escolaridad","NIV","Alfanumérico",2,"01
"
"Nivel de escolaridad","NIV","Alfanumérico",2,"02
"
"Nivel de escolaridad","NIV","Alfanumérico",2,"03
"
"Nivel de escolaridad","NIV","Alfanumérico",2,"04
"
"Nivel de escolaridad","NIV","Alfanumérico",2,"05
"
"Nivel de escolaridad","NIV","Alfanumérico",2,"06
"
"Nivel de escolaridad","NIV","Alfanumérico",2,"07
"
"Nivel de escolaridad","NIV","Alfanumérico",2,"08
"
"Nivel de escolaridad","NIV","Alfanumérico",2,"09
"
"Nivel de escolaridad","NIV","Alfanumérico",2,"10
"
"Grado de escolaridad","GRA","Alfanumérico",1,"0
"
"Grado de escolaridad","GRA","Alfanumérico",1,"1 - 6
"
"Alfabetismo","P3_18","Alfanumérico",1,"1
"
"Alfabetismo","P3_18","Alfanumérico",1,"2
"
"Alfabetismo","P3_18","Alfanumérico",1,"9
"
"Asistencia escolar","P3_19","Alfanumérico",1,"1
"
"Asistencia escolar","P3_19","Alfanumérico",1,"2
"
"Asistencia escolar","P3_19","Alfanumérico",1,"9
"
"Situación conyugal","P3_20","Alfanumérico",1,"1
"
"Situación conyugal","P3_20","Alfanumérico",1,"2
"
"Situación conyugal","P3_20","Alfanumérico",1,"3
"
"Situación conyugal","P3_20","Alfanumérico",1,"4
"
"Situación conyugal","P3_20","Alfanumérico",1,"5
"
"Situación conyugal","P3_20","Alfanumérico",1,"6
"
"Situación conyugal","P3_20","Alfanumérico",1,"9
"
"Condición de actividad","P3_21","Alfanumérico",1,"1
"
"Condición de actividad","P3_21","Alfanumérico",1,"2
"
"Condición de actividad","P3_21","Alfanumérico",1,"3
"
"Condición de actividad","P3_21","Alfanumérico",1,"4
"
"Condición de actividad","P3_21","Alfanumérico",1,"5
"
"Condición de actividad","P3_21","Alfanumérico",1,"6
"
"Condición de actividad","P3_21","Alfanumérico",1,"7
"
"Condición de actividad","P3_21","Alfanumérico",1,"8
"
"Verificación de condición de actividad","P3_22","Alfanumérico",1,"1
"
"Verificación de condición de actividad","P3_22","Alfanumérico",1,"2
"
"Verificación de condición de actividad","P3_22","Alfanumérico",1,"3
"
"Verificación de condición de actividad","P3_22","Alfanumérico",1,"4
"
"Verificación de condición de actividad","P3_22","Alfanumérico",1,"5
"
"Verificación de condición de actividad","P3_22","Alfanumérico",1,"6
"
"Contrato y prestaciones - Contrato por escrito","P3_23_1","Alfanumérico",1,"1
"
"Contrato y prestaciones - Contrato por escrito","P3_23_1","Alfanumérico",1,"2
"
"Contrato y prestaciones - Contrato por escrito","P3_23_1","Alfanumérico",1,"9
"
"Contrato y prestaciones - Aguinaldo","P3_23_2","Alfanumérico",1,"1
"
"Contrato y prestaciones - Aguinaldo","P3_23_2","Alfanumérico",1,"2
"
"Contrato y prestaciones - Aguinaldo","P3_23_2","Alfanumérico",1,"9
"
"Contrato y prestaciones -Vacaciones","P3_23_3","Alfanumérico",1,"1
"
"Contrato y prestaciones -Vacaciones","P3_23_3","Alfanumérico",1,"2
"
"Contrato y prestaciones -Vacaciones","P3_23_3","Alfanumérico",1,"9
"
"Contrato y prestaciones - Servicios de salud","P3_23_4","Alfanumérico",1,"1
"
"Contrato y prestaciones - Servicios de salud","P3_23_4","Alfanumérico",1,"2
"
"Contrato y prestaciones - Servicios de salud","P3_23_4","Alfanumérico",1,"9
"
"Contrato y prestaciones - Servicio médico privado","P3_23_5","Alfanumérico",1,"1
"
"Contrato y prestaciones - Servicio médico privado","P3_23_5","Alfanumérico",1,"2
"
"Contrato y prestaciones - Servicio médico privado","P3_23_5","Alfanumérico",1,"9
"
"Contrato y prestaciones - Incapacidad","P3_23_6","Alfanumérico",1,"1
"
"Contrato y prestaciones - Incapacidad","P3_23_6","Alfanumérico",1,"2
"
"Contrato y prestaciones - Incapacidad","P3_23_6","Alfanumérico",1,"9
"
"Contrato y prestaciones. Crédito de vivienda","P3_23_7","Alfanumérico",1,"1
"
"Contrato y prestaciones. Crédito de vivienda","P3_23_7","Alfanumérico",1,"2
"
"Contrato y prestaciones. Crédito de vivienda","P3_23_7","Alfanumérico",1,"9
"
"Tareas laborales","P3_24","Alfanumérico",200,"A - Z, 0 - 9
"
"Código de tareas laborales","P3_24C","Alfanumérico",4,"1001 - 9899
"
"Código de tareas laborales","P3_24C","Alfanumérico",4,"9999
"
"Ocupación u oficio","P3_25","Alfanumérico",160,"A - Z, 0 - 9
"
"Elegibilidad del COE - Día de nacimiento","P3_26_1","Alfanumérico",2,"01 - 31
"
"Elegibilidad del COE - Día de nacimiento","P3_26_1","Alfanumérico",2,"99
"
"Elegibilidad del COE - Mes de nacimiento","P3_26_2","Alfanumérico",2,"01
"
"Elegibilidad del COE - Mes de nacimiento","P3_26_2","Alfanumérico",2,"02
"
"Elegibilidad del COE - Mes de nacimiento","P3_26_2","Alfanumérico",2,"03
"
"Elegibilidad del COE - Mes de nacimiento","P3_26_2","Alfanumérico",2,"04
"
"Elegibilidad del COE - Mes de nacimiento","P3_26_2","Alfanumérico",2,"05
"
"Elegibilidad del COE - Mes de nacimiento","P3_26_2","Alfanumérico",2,"06
"
"Elegibilidad del COE - Mes de nacimiento","P3_26_2","Alfanumérico",2,"07
"
"Elegibilidad del COE - Mes de nacimiento","P3_26_2","Alfanumérico",2,"08
"
"Elegibilidad del COE - Mes de nacimiento","P3_26_2","Alfanumérico",2,"09
"
"Elegibilidad del COE - Mes de nacimiento","P3_26_2","Alfanumérico",2,"10
"
"Elegibilidad del COE - Mes de nacimiento","P3_26_2","Alfanumérico",2,"11
"
"Elegibilidad del COE - Mes de nacimiento","P3_26_2","Alfanumérico",2,"12
"
"Elegibilidad del COE - Mes de nacimiento","P3_26_2","Alfanumérico",2,"99
"
"Elegibilidad del COE - Código de elegibilidad","P3_26_3","Alfanumérico",1,"1
"
"Elegibilidad del COE - Código de elegibilidad","P3_26_3","Alfanumérico",1,"2
"
"Identificación de grupos. Persona con diversidad étnica","P4_1_01","Alfanumérico",1,"1
"
"Identificación de grupos. Persona con diversidad étnica","P4_1_01","Alfanumérico",1,"2
"
"Identificación de grupos.
Persona con discapacidad","P4_1_02","Alfanumérico",1,"1
"
"Identificación de grupos.
Persona con discapacidad","P4_1_02","Alfanumérico",1,"2
"
"Identificación de grupos.
Persona migrante","P4_1_03","Alfanumérico",1,"1
"
"Identificación de grupos.
Persona migrante","P4_1_03","Alfanumérico",1,"2
"
"Identificación de grupos.
Persona con diversidad religiosa","P4_1_04","Alfanumérico",1,"1
"
"Identificación de grupos.
Persona con diversidad religiosa","P4_1_04","Alfanumérico",1,"2
"
"Identificación de grupos.
Persona mayor","P4_1_05","Alfanumérico",1,"1
"
"Identificación de grupos.
Persona mayor","P4_1_05","Alfanumérico",1,"2
"
"Identificación de grupos - Niña o niño","P4_1_06","Alfanumérico",1,"1
"
"Identificación de grupos - Niña o niño","P4_1_06","Alfanumérico",1,"2
"
"Identificación de grupos - Adolescente o joven","P4_1_07","Alfanumérico",1,"1
"
"Identificación de grupos - Adolescente o joven","P4_1_07","Alfanumérico",1,"2
"
"Identificación de grupos - Mujer","P4_1_08","Alfanumérico",1,"1
"
"Identificación de grupos - Mujer","P4_1_08","Alfanumérico",1,"2
"
"Identificación de grupos - Experiencias de discriminación","P4_1_09","Alfanumérico",1,"1
"
"Identificación de grupos - Experiencias de discriminación","P4_1_09","Alfanumérico",1,"2
"
"Identificación de grupos - COE","P4_1_10","Alfanumérico",1,"1
"
"Identificación de grupos - COE","P4_1_10","Alfanumérico",1,"2
"
"Identificación de grupos - No Aplica Módulos","P4_1_11","Alfanumérico",1,"1
"
