"NOMBRE_CAMPO","NEMONICO","TIPO","LONGITUD","RANGO_CLAVES"
"Discriminación y violencia en el hogar. Se burlaron de ti o te dijeron cosas que te ofendieran","PM6_7_2","Alfanumérico",1,"8
"
"Discriminación y violencia en el hogar. Te jalonearon o empujaron","PM6_7_3","Alfanumérico",1,"1
"
"Discriminación y violencia en el hogar. Te jalonearon o empujaron","PM6_7_3","Alfanumérico",1,"2
"
"Discriminación y violencia en el hogar. Te jalonearon o empujaron","PM6_7_3","Alfanumérico",1,"8
"
"Discriminación y violencia en el hogar. Te hicieron sentir miedo","PM6_7_4","Alfanumérico",1,"1
"
"Discriminación y violencia en el hogar. Te hicieron sentir miedo","PM6_7_4","Alfanumérico",1,"2
"
"Discriminación y violencia en el hogar. Te hicieron sentir miedo","PM6_7_4","Alfanumérico",1,"8
"
"Discriminación y violencia en el hogar. Te castigaron dejándote sin comer","PM6_7_5","Alfanumérico",1,"1
"
"Discriminación y violencia en el hogar. Te castigaron dejándote sin comer","PM6_7_5","Alfanumérico",1,"2
"
"Discriminación y violencia en el hogar. Te castigaron dejándote sin comer","PM6_7_5","Alfanumérico",1,"8
"
"Discriminación y violencia en el hogar. Te amenazaron con pegarte","PM6_7_6","Alfanumérico",1,"1
"
"Discriminación y violencia en el hogar. Te amenazaron con pegarte","PM6_7_6","Alfanumérico",1,"2
"
"Discriminación y violencia en el hogar. Te amenazaron con pegarte","PM6_7_6","Alfanumérico",1,"8
"
"Motivos de discriminación escolar. Como vistes","PM6_8_1","Alfanumérico",1,"1
"
"Motivos de discriminación escolar. Como vistes","PM6_8_1","Alfanumérico",1,"2
"
"Motivos de discriminación escolar. Como vistes","PM6_8_1","Alfanumérico",1,"8
"
"Motivos de discriminación escolar. Como hablas o te expresas","PM6_8_2","Alfanumérico",1,"1
"
"Motivos de discriminación escolar. Como hablas o te expresas","PM6_8_2","Alfanumérico",1,"2
"
"Motivos de discriminación escolar. Como hablas o te expresas","PM6_8_2","Alfanumérico",1,"8
"
"Motivos de discriminación escolar. Tu peso o tu estatura","PM6_8_3","Alfanumérico",1,"1
"
"Motivos de discriminación escolar. Tu peso o tu estatura","PM6_8_3","Alfanumérico",1,"2
"
"Motivos de discriminación escolar. Tu peso o tu estatura","PM6_8_3","Alfanumérico",1,"8
"
"Motivos de discriminación escolar. Ser niña (niño)","PM6_8_4","Alfanumérico",1,"1
"
"Motivos de discriminación escolar. Ser niña (niño)","PM6_8_4","Alfanumérico",1,"2
"
"Motivos de discriminación escolar. Ser niña (niño)","PM6_8_4","Alfanumérico",1,"8
"
"Motivos de discriminación escolar. La colonia (localidad) en la que vives","PM6_8_5","Alfanumérico",1,"1
"
"Motivos de discriminación escolar. La colonia (localidad) en la que vives","PM6_8_5","Alfanumérico",1,"2
"
"Motivos de discriminación escolar. La colonia (localidad) en la que vives","PM6_8_5","Alfanumérico",1,"8
"
"Motivos de discriminación escolar. Tu nombre","PM6_8_6","Alfanumérico",1,"1
"
"Motivos de discriminación escolar. Tu nombre","PM6_8_6","Alfanumérico",1,"2
"
"Motivos de discriminación escolar. Tu nombre","PM6_8_6","Alfanumérico",1,"8
"
"Motivos de discriminación escolar. Tu tono de piel","PM6_8_7","Alfanumérico",1,"1
"
"Motivos de discriminación escolar. Tu tono de piel","PM6_8_7","Alfanumérico",1,"2
"
"Motivos de discriminación escolar. Tu tono de piel","PM6_8_7","Alfanumérico",1,"8
"
"Motivos de discriminación escolar. No tener los mismos juguetes o aparatos que otras niñas y niños","PM6_8_8","Alfanumérico",1,"1
"
"Motivos de discriminación escolar. No tener los mismos juguetes o aparatos que otras niñas y niños","PM6_8_8","Alfanumérico",1,"2
"
"Motivos de discriminación escolar. No tener los mismos juguetes o aparatos que otras niñas y niños","PM6_8_8","Alfanumérico",1,"8
"
"Motivos de discriminación escolar. Otro motivo","PM6_8_9","Alfanumérico",1,"1
"
"Motivos de discriminación escolar. Otro motivo","PM6_8_9","Alfanumérico",1,"2
"
"Motivos de discriminación escolar. Otro motivo","PM6_8_9","Alfanumérico",1,"8
"
"Acoso escolar (Bullying). Se ha burlado de ti o te ha puesto apodos que no te gustan o que te ofendan","PM6_9_1","Alfanumérico",1,"1
"
"Acoso escolar (Bullying). Se ha burlado de ti o te ha puesto apodos que no te gustan o que te ofendan","PM6_9_1","Alfanumérico",1,"2
"
"Acoso escolar (Bullying). Se ha burlado de ti o te ha puesto apodos que no te gustan o que te ofendan","PM6_9_1","Alfanumérico",1,"8
"
"Acoso escolar (Bullying). Te ha rechazado o ha puesto en tu contra a compañeras o compañeros","PM6_9_2","Alfanumérico",1,"1
"
"Acoso escolar (Bullying). Te ha rechazado o ha puesto en tu contra a compañeras o compañeros","PM6_9_2","Alfanumérico",1,"2
"
"Acoso escolar (Bullying). Te ha rechazado o ha puesto en tu contra a compañeras o compañeros","PM6_9_2","Alfanumérico",1,"8
"
"Acoso escolar (Bullying). Te ha obligado a hacer algo que no quieres","PM6_9_3","Alfanumérico",1,"1
"
"Acoso escolar (Bullying). Te ha obligado a hacer algo que no quieres","PM6_9_3","Alfanumérico",1,"2
"
"Acoso escolar (Bullying). Te ha obligado a hacer algo que no quieres","PM6_9_3","Alfanumérico",1,"8
"
"Acoso escolar (Bullying). Te ha prohibido participar en juegos, deportes o trabajos en equipo","PM6_9_4","Alfanumérico",1,"1
"
"Acoso escolar (Bullying). Te ha prohibido participar en juegos, deportes o trabajos en equipo","PM6_9_4","Alfanumérico",1,"2
"
